
2025/02/13 (19:50:29) | ===> btop++ v.1.4.0
2025/02/13 (19:50:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (19:50:44) | ===> btop++ v.1.4.0
2025/02/13 (19:50:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (13:44:26) | ===> btop++ v.1.4.0
2025/02/14 (13:44:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (14:00:46) | ===> btop++ v.1.4.0
2025/02/14 (14:00:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (17:38:09) | ===> btop++ v.1.4.0
2025/02/14 (17:38:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (11:58:39) | ===> btop++ v.1.4.0
2025/02/15 (11:58:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (16:09:50) | ===> btop++ v.1.4.0
2025/02/15 (16:09:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (17:58:09) | ===> btop++ v.1.4.0
2025/02/15 (17:58:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (20:39:08) | ===> btop++ v.1.4.0
2025/02/15 (20:39:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (22:30:42) | ===> btop++ v.1.4.0
2025/02/15 (22:30:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (22:31:06) | ===> btop++ v.1.4.0
2025/02/15 (22:31:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (21:19:14) | ===> btop++ v.1.4.0
2025/02/16 (21:19:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (09:47:14) | ===> btop++ v.1.4.0
2025/02/17 (09:47:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (13:14:59) | ===> btop++ v.1.4.0
2025/02/17 (13:14:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (10:26:46) | ===> btop++ v.1.4.0
2025/02/18 (10:26:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (17:44:06) | ===> btop++ v.1.4.0
2025/02/18 (17:44:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:04:52) | ===> btop++ v.1.4.0
2025/02/19 (13:04:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (17:06:08) | ===> btop++ v.1.4.0
2025/02/25 (17:06:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (17:32:12) | ===> btop++ v.1.4.0
2025/02/25 (17:32:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (17:57:37) | ===> btop++ v.1.4.0
2025/02/25 (17:57:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (20:37:53) | ===> btop++ v.1.4.0
2025/02/25 (20:37:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (20:40:16) | ===> btop++ v.1.4.0
2025/02/25 (20:40:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (10:45:25) | ===> btop++ v.1.4.0
2025/02/27 (10:45:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (11:53:45) | ===> btop++ v.1.4.0
2025/02/27 (11:53:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (20:08:21) | ===> btop++ v.1.4.0
2025/02/27 (20:08:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (16:10:18) | ===> btop++ v.1.4.0
2025/02/28 (16:10:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (20:41:06) | ===> btop++ v.1.4.0
2025/02/28 (20:41:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (16:30:00) | ===> btop++ v.1.4.0
2025/03/01 (16:30:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (18:20:29) | ===> btop++ v.1.4.0
2025/03/01 (18:20:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:55:59) | ===> btop++ v.1.4.0
2025/03/01 (19:55:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (14:46:25) | ===> btop++ v.1.4.0
2025/03/03 (14:46:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (15:49:01) | ===> btop++ v.1.4.0
2025/03/04 (15:49:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (15:55:19) | ===> btop++ v.1.4.0
2025/03/04 (15:55:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (17:53:38) | ===> btop++ v.1.4.0
2025/03/04 (17:53:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (13:08:35) | ===> btop++ v.1.4.0
2025/03/07 (13:08:35) | WARNING: Intel GPU: Failed to initialize PMU
